genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title,Title.1
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,2050,10,1,0.10958352,0.09959643,0.08118043,0.163240135,2.950269461,27,4840.290967,3388.084644,325,0,0,326,251.9267188,62.72203125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30505,13,1,0.11598069,0.091963276,0.08546313,0.163240135,2.950269461,13,4977.441455,3087.158704,78,0,0,78,55.67765625,16.48203125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5718,9,1,0.1142212,0.10687672,0.09054286,0.163240135,2.950269461,17,2342.305115,3270.479797,106,0,0,106,104.943125,34.27359375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14704,9,19,0.40079075,0.1188328,0.08096749,0.163240135,2.950269461,13,4863.929517,2740.928137,88,0,0,88,124.63125,38.7440625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15327,9,3,0.22542378,0.08521546,0.069852255,0.163240135,2.950269461,13,4690.072144,3108.663123,47,0,0,47,34.81546875,10.25046875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16337,13,1,0.19322696,0.12197084,0.06884604,0.163240135,2.950269461,13,4589.027563,3059.311035,68,0,0,69,75.00453125,39.1053125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14931,9,1,0.18514213,0.09081344,0.0769897,0.163240135,2.950269461,13,4660.456616,3049.286389,190,0,0,190,98.26,43.71125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,18974,13,9,0.14034665,0.13862962,0.12438677,0.163240135,2.950269461,2,2701.865491,2454.590613,22,0,0,22,14.04359375,7.766875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5757,9,2,0.17675154,0.15501963,0.108595535,0.163240135,2.950269461,28,2297.501025,3172.468945,157,1,0,158,216.930625,47.36890625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15800,9,19,0.33442867,0.20759125,0.15248215,0.163240135,2.950269461,9,4836.60957,2861.741443,72,0,0,72,43.03390625,20.1396875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16107,12,1,0.13979568,0.10164655,0.0887154,0.163240135,2.950269461,13,4658.304639,3132.926514,31,0,0,31,33.5059375,5.599375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29487,9,13,0.24563482,0.12943222,0.12806459,0.163240135,2.950269461,7,5175.756665,3132.688696,28,0,0,28,23.0296875,5.8703125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5581,13,8,0.1902598,0.09458929,0.08438651,0.163240135,2.950269461,17,2390.561292,3162.576697,156,0,0,156,89.81578125,47.73015625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14625,4,2,0.18174443,0.08989107,0.077643804,0.163240135,2.950269461,17,4923.053491,3183.160974,114,0,0,114,290.8514063,71.12109375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,35615,9,1,0.20979005,0.11341856,0.09226055,0.163240135,2.950269461,7,3719.223975,2730.798486,181,0,0,181,102.6401563,36.7571875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6531,9,19,0.21481387,0.14124605,0.09698757,0.163240135,2.950269461,2,2353.983069,2780.10658,212,0,0,212,191.643125,54.006875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,21624,1,19,0.20871122,0.091902465,0.08894357,0.163240135,2.950269461,18,2531.40625,2649.599414,43,0,0,43,51.16203125,14.04359375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15318,13,9,0.19312802,0.11102462,0.09390293,0.163240135,2.950269461,13,4690.283813,3088.938806,161,0,0,161,77.44296875,51.65875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30392,12,13,0.13785678,0.13571589,0.100185186,0.163240135,2.950269461,13,5017.561206,3122.064526,365,0,0,365,187.2629688,67.1925,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,1925,2,1,0.13441633,0.11541397,0.09670988,0.163240135,2.950269461,17,4947.813062,2990.634521,114,0,0,114,333.253125,56.2646875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14784,1,12,0.116427824,0.10659891,0.09865567,0.163240135,2.950269461,20,4768.07666,3271.43501,87,0,0,87,84.93890625,42.31140625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15807,9,1,0.17815906,0.10545634,0.09939606,0.163240135,2.950269461,19,4847.827661,2875.017297,89,0,0,89,66.1990625,43.35,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,1902,4,3,0.10446073,0.08335636,0.07869049,0.163240135,2.950269461,17,4953.80332,3244.152832,107,0,0,107,178.4575,50.1234375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15109,9,13,0.26132193,0.1617018,0.07737816,0.163240135,2.950269461,9,4927.124194,2662.847461,43,0,0,43,42.76296875,23.79734375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15159,10,9,0.2219147,0.13722414,0.09820056,0.163240135,2.950269461,19,4817.488306,2711.126465,263,0,0,263,178.8639063,60.870625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5721,12,13,0.18852021,0.0902944,0.08044499,0.163240135,2.950269461,17,2349.209497,3300.586938,53,0,0,53,48.6784375,24.79078125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29422,19,10,0.27236125,0.08750788,0.07857664,0.163240135,2.950269461,7,5300.792993,2902.213562,202,0,0,202,124.811875,59.65140625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29407,13,9,0.28721818,0.13546936,0.057239875,0.163240135,2.950269461,7,5303.303149,2889.457129,37,0,0,37,20.5009375,7.27015625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15740,10,8,0.18452746,0.12434235,0.11248444,0.163240135,2.950269461,17,4766.027612,2857.126831,261,0,0,261,200.9904688,58.74828125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5933,1,19,0.103035025,0.10115871,0.0900525,0.163240135,2.950269461,17,2459.193188,2747.747229,96,1,0,97,144.4548438,37.93125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29536,9,19,0.36927435,0.11738407,0.09487855,0.163240135,2.950269461,15,5341.986035,2859.091211,43,0,0,43,46.01421875,5.6896875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15958,13,12,0.23226687,0.1315724,0.11845166,0.163240135,2.950269461,7,4495.000879,2834.840894,116,0,0,116,54.6390625,40.68578125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14813,12,9,0.12475954,0.124375984,0.11944426,0.163240135,2.950269461,17,4840.015381,3022.812292,79,0,0,79,49.5815625,28.49359375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15168,9,10,0.18818969,0.15954387,0.15426785,0.163240135,2.950269461,17,4826.659424,2702.158923,307,0,0,307,171.2325,58.20640625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15660,13,1,0.19366215,0.18971427,0.09314276,0.163240135,2.950269461,13,4717.896362,2995.200366,286,0,0,286,163.104375,71.708125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,2107,8,1,0.24967945,0.10972103,0.081606805,0.163240135,2.950269461,17,4937.536279,2762.277539,132,0,0,132,101.9628125,36.26046875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30886,13,1,0.14028205,0.0982026,0.09431574,0.163240135,2.950269461,13,5042.725854,2924.817419,390,0,1,391,244.8371875,89.95125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,34854,8,19,0.16600247,0.14123705,0.09792831,0.163240135,2.950269461,7,3899.284521,2912.986938,154,0,0,154,106.2978125,46.64640625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15299,13,9,0.16632181,0.13064675,0.08305098,0.163240135,2.950269461,27,4696.064893,3149.978394,207,0,0,207,77.7590625,38.87953125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30736,1,10,0.16318662,0.088776365,0.06839241,0.163240135,2.950269461,13,4962.365991,2957.109119,129,0,0,129,274.55,63.71546875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30622,2,13,0.19544537,0.08996468,0.083564065,0.163240135,2.950269461,13,5103.368457,2967.391089,150,0,0,150,181.4378125,47.36890625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29837,13,12,0.1448995,0.1032292,0.08102233,0.163240135,2.950269461,13,5119.513892,3208.1677,95,1,0,96,57.75484375,19.5075,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14682,9,19,0.30561405,0.13663788,0.10369633,0.163240135,2.950269461,17,4815.865918,2846.625513,262,0,0,262,126.5729688,60.37390625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5594,9,19,0.34071055,0.2451307,0.12246488,0.163240135,2.950269461,17,2377.58219,3174.799805,214,0,0,214,91.8478125,47.09796875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15788,1,11,0.11370725,0.10499263,0.07004882,0.163240135,2.950269461,9,4725.522705,2903.074768,129,0,0,129,106.0720313,30.39015625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,32937,1,9,0.16875146,0.101222605,0.06769455,0.163240135,2.950269461,8,5264.563818,3486.303223,67,0,0,67,135.6945313,9.97953125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,1,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30956,9,19,0.28798488,0.27832848,0.1267451,0.163240135,2.950269461,19,5056.346606,2775.936267,129,0,0,129,51.52328125,33.5059375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,8474,9,1,0.12559047,0.11213086,0.088200316,0.163240135,2.950269461,17,2345.335938,3412.21543,99,0,0,99,71.21140625,20.72671875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,24819,13,7,0.25369483,0.13629393,0.06542159,0.163240135,2.950269461,4,1472.891248,3060.339709,354,0,0,354,261.7707813,74.64328125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29549,1,13,0.19349732,0.09303044,0.08856371,0.163240135,2.950269461,7,5378.975146,2858.666211,201,1,0,202,232.645,59.83203125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,11078,1,13,0.11607322,0.09045467,0.08220354,0.163240135,2.950269461,21,4833.884424,2127.92395,138,0,0,138,81.59734375,22.89421875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16085,13,1,0.2898468,0.14000818,0.08143899,0.163240135,2.950269461,13,4800.638965,3139.692273,223,0,0,223,151.0476563,56.03890625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,31791,12,13,0.28871673,0.13905531,0.13578175,0.163240135,2.950269461,14,3597.388843,2214.532019,83,0,0,83,46.82703125,31.47390625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,1931,13,9,0.4061688,0.1131857,0.10318818,0.163240135,2.950269461,17,4936.868066,3068.888062,45,0,0,45,48.76875,23.661875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5816,13,2,0.2276926,0.17063628,0.0833494,0.163240135,2.950269461,22,2357.824255,3181.703564,217,0,0,217,170.5551563,49.08484375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14671,9,10,0.3712243,0.13335593,0.11097284,0.163240135,2.950269461,9,4792.444019,2846.145313,220,0,0,220,168.9295313,57.3484375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5684,9,19,0.21236853,0.1504384,0.093758464,0.163240135,2.950269461,18,2461.44021,2622.342554,33,0,0,33,72.83703125,21.7653125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15001,13,2,0.13901582,0.08278977,0.07612121,0.163240135,2.950269461,13,4667.66543,2964.620081,74,0,0,74,109.1426563,27.59046875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,26673,12,13,0.14798608,0.14323208,0.11630345,0.163240135,2.950269461,14,5050.317749,2514.541553,39,0,0,39,20.410625,5.19296875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14630,1,4,0.14682601,0.08266867,0.073661156,0.163240135,2.950269461,19,4929.926538,2672.2896,52,0,0,52,59.9675,12.0115625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6228,9,19,0.4434149,0.12096637,0.102246806,0.163240135,2.950269461,21,2375.983459,3296.044958,281,0,0,282,219.0529688,74.3271875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6529,13,9,0.21607883,0.17437935,0.12883286,0.163240135,2.950269461,21,2349.071704,2793.602197,89,0,0,89,90.35765625,36.89265625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,20183,12,13,0.19005753,0.11348792,0.104464106,0.163240135,2.950269461,9,1159.768036,1402.160706,57,0,0,57,30.39015625,17.11421875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15286,8,19,0.17984502,0.1182417,0.10635028,0.163240135,2.950269461,27,4687.774487,3178.488672,53,0,0,53,39.37625,23.34578125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,29840,1,13,0.16705456,0.12484405,0.09856367,0.163240135,2.950269461,13,5123.847314,3182.774365,116,0,0,116,83.1778125,28.22265625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,2127,9,19,0.21349174,0.13675928,0.09616261,0.163240135,2.950269461,17,4954.692749,2804.756372,174,0,0,174,153.17,34.860625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,11771,19,1,0.1133006,0.09398436,0.088250935,0.163240135,2.950269461,10,4604.879565,1816.686365,189,0,0,190,105.0334375,54.41328125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16150,7,13,0.15325373,0.123698235,0.09300979,0.163240135,2.950269461,13,4675.427075,3110.883167,75,0,0,75,42.7178125,37.52484375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,CNN Model : Stratified Split - Raw Data,CNN Model : Stratified Sampling - Raw Data
